Onset,Duration,Annotation
+2850.0000000,,Markon: w
+2879.9497000,,Markoff: w
+2880.0328000,,Markon: w
+2909.9497000,,Markoff: w
+2910.0492000,,Markon: w
+2939.9497000,,Markoff: w
+2940.0492000,,Markon: w
+2969.9661000,,Markoff: w
+2970.0328000,,Markon: w
+2999.9497000,,Markoff: w
+3000.0328000,,Markon: w
+3029.9333000,,Markoff: w
+3030.0164000,,Markon: w
+3059.9825000,,Markoff: w
+3060.0328000,,Markon: w
+3089.9497000,,Markoff: w
+3090.0164000,,Markon: w
+3119.9661000,,Markoff: w
+3120.0492000,,Markon: w
+3149.9661000,,Markoff: w
+3150.0164000,,Markon: w
+3179.9169000,,Markoff: w
+3179.9716000,,Markon: 1
+3209.7571000,,Markoff: 1
+3209.8402000,,Markon: w
+3239.7571000,,Markoff: w
+3239.8074000,,Markon: w
+3269.7243000,,Markoff: w
+3269.8074000,,Markon: w
+3299.7571000,,Markoff: w
+3299.8238000,,Markon: w
+3329.7243000,,Markoff: w
+3329.7298000,,Markon: w
+3359.4661000,,Markoff: w
+3359.4932000,,Markon: w
+3383.4825000,,Markoff: w
